time,C,I,V,c_a_max,c_a_min,c_c_max,c_c_min,mass_a,mass_c,mass_e,pulse_out
51.5,-0.014489306974393,0.0002810992370709,0.54188939332955,0.0077826076657328,0.007778588910551,0.0075578708811623,0.0075549854752906,1.1670171601538e-05,9.0682056222547e-06,3.303e-08,0.01
52.5,-0.0147704062217,0.00028109924730704,0.54188950332117,0.0077845539531627,0.0077805287172226,0.0075554787507874,0.0075525999375455,1.1673084999966e-05,9.0653378982834e-06,3.303e-08,0.01
53.5,-0.015051505479235,0.00028109925753518,0.54188961332489,0.0077865002427181,0.0077824685228269,0.0075530866218511,0.0075502143968899,1.16759983985e-05,9.0624701741681e-06,3.303e-08,0.01
54.5,-0.01533260474699,0.00028109926775532,0.54188972334109,0.0077884465344244,0.0077844083273634,0.007550694494355,0.0075478288533207,1.1678911797139e-05,9.0596024499088e-06,3.303e-08,0.01
55.5,-0.015613704024958,0.00028109927796746,0.54188983336967,0.0077903928283107,0.0077863481308313,0.0075483023683007,0.0075454433068346,1.1681825195885e-05,9.0567347255052e-06,3.303e-08,0.01
56.5,-0.015894803313129,0.00028109928817166,0.54188994341119,0.0077923391244098,0.0077882879332296,0.0075459102436897,0.0075430577574284,1.1684738594736e-05,9.0538670009573e-06,3.303e-08,0.01
57.5,-0.016175902611497,0.0002810992983679,0.54189005346586,0.0077942854227587,0.0077902277345571,0.0075435181205238,0.0075406722050987,1.1687651993693e-05,9.0509992762649e-06,3.303e-08,0.01
58.5,-0.016457001920053,0.00028109930855622,0.54189016353376,0.0077962317233997,0.0077921675348124,0.0075411259988045,0.0075382866498423,1.1690565392756e-05,9.0481315514278e-06,3.303e-08,0.01
59.5,-0.01673810123879,0.00028109931873658,0.54189027361517,0.0077981780263802,0.0077941073339936,0.0075387338785336,0.0075359010916558,1.1693478791924e-05,9.0452638264459e-06,3.303e-08,0.01
60.5,-0.017019200567699,0.00028109932890907,0.54189038371052,0.007800124331754,0.0077960471320987,0.0075363417597126,0.007533515530536,1.1696392191198e-05,9.0423961013189e-06,3.303e-08,0.01
61.5,-0.017300299906773,0.00028109933907366,0.54189049381979,0.0078020706395818,0.0077979869291252,0.0075339496423431,0.0075311299664794,1.1699305590576e-05,9.0395283760468e-06,3.303e-08,0.01
62.5,-0.017581399256003,0.00028109934923037,0.54189060394339,0.007804016949932,0.0077999267250702,0.007531557526427,0.0075287443994827,1.1702218990061e-05,9.0366606506293e-06,3.303e-08,0.01
63.5,-0.017862498615382,0.00028109935937921,0.54189071408148,0.0078059632628819,0.0078018665199305,0.0075291654119658,0.0075263588295425,1.170513238965e-05,9.0337929250664e-06,3.303e-08,0.01
64.5,-0.018143597984903,0.00028109936952022,0.54189082423442,0.0078079095785186,0.007803806313702,0.0075267732989612,0.0075239732566555,1.1708045789344e-05,9.0309251993578e-06,3.303e-08,0.01
65.5,-0.018424697364556,0.00028109937965337,0.54189093440234,0.0078098558969402,0.0078057461063805,0.007524381187415,0.0075215876808182,1.1710959189144e-05,9.0280574735034e-06,3.303e-08,0.01
66.5,-0.018705796754335,0.00028109938977873,0.54189104458559,0.0078118022182573,0.0078076858979607,0.0075219890773288,0.0075192021020272,1.1713872589048e-05,9.025189747503e-06,3.303e-08,0.01
67.5,-0.018986896154231,0.00028109939989627,0.54189115478438,0.0078137485425945,0.0078096256884368,0.0075195969687044,0.007516816520279,1.1716785989058e-05,9.0223220213564e-06,3.303e-08,0.01
68.5,-0.019267995564237,0.00028109941000601,0.54189126499894,0.0078156948700917,0.0078115654778021,0.0075172048615435,0.0075144309355702,1.1719699389172e-05,9.0194542950635e-06,3.303e-08,0.01
69.5,-0.019549094984345,0.000281099420108,0.54189137522962,0.0078176412009068,0.0078135052660491,0.0075148127558478,0.0075120453478972,1.1722612789391e-05,9.0165865686242e-06,3.303e-08,0.01
70.5,-0.019830194414547,0.00028109943020222,0.54189148547663,0.0078195875352171,0.0078154450531689,0.0075124206516192,0.0075096597572565,1.1725526189714e-05,9.0137188420382e-06,3.303e-08,0.01
71.5,-0.020111293854836,0.00028109944028868,0.54189159574026,0.0078215338732221,0.0078173848391519,0.0075100285488594,0.0075072741636445,1.1728439590142e-05,9.0108511153054e-06,3.303e-08,0.01
72.5,-0.020392393305203,0.00028109945036744,0.54189170602096,0.007823480215146,0.0078193246239868,0.0075076364475702,0.0075048885670576,1.1731352990674e-05,9.0079833884256e-06,3.303e-08,0.01
73.5,-0.020673492765642,0.00028109946043847,0.54189181631884,0.0078254265612409,0.007821264407661,0.0075052443477535,0.0075025029674922,1.1734266391311e-05,9.0051156613987e-06,3.303e-08,0.01
74.5,-0.020954592236143,0.00028109947050177,0.54189192663421,0.0078273729117899,0.0078232041901602,0.0075028522494111,0.0075001173649446,1.1737179792052e-05,9.0022479342244e-06,3.303e-08,0.01
75.5,-0.021235691716701,0.00028109948055739,0.54189203696755,0.0078293192671112,0.0078251439714682,0.0075004601525449,0.0074977317594111,1.1740093192897e-05,8.9993802069027e-06,3.303e-08,0.01
76.5,-0.021516791207306,0.00028109949060537,0.5418921473193,0.0078312656275619,0.0078270837515667,0.0074980680571568,0.0074953461508879,1.1743006593847e-05,8.9965124794334e-06,3.303e-08,0.01
77.5,-0.021797890707952,0.00028109950064563,0.54189225768957,0.007833211993543,0.0078290235304352,0.0074956759632488,0.0074929605393713,1.17459199949e-05,8.9936447518162e-06,3.303e-08,0.01
78.5,-0.02207899021863,0.00028109951067828,0.54189236807919,0.0078351583655048,0.0078309633080505,0.0074932838708227,0.0074905749248573,1.1748833396058e-05,8.990777024051e-06,3.303e-08,0.01
79.5,-0.022360089739333,0.00028109952070331,0.54189247848848,0.0078371047439523,0.0078329030843864,0.0074908917798808,0.0074881893073421,1.1751746797319e-05,8.9879092961377e-06,3.303e-08,0.01
80.5,-0.022641189270054,0.00028109953072069,0.54189258891804,0.0078390511294523,0.0078348428594134,0.0074884996904249,0.0074858036868216,1.1754660198684e-05,8.985041568076e-06,3.303e-08,0.01
81.5,-0.022922288810785,0.00028109954073049,0.54189269936848,0.0078409975226405,0.0078367826330984,0.0074861076024573,0.0074834180632917,1.1757573600153e-05,8.9821738398659e-06,3.303e-08,0.01
82.5,-0.023203388361517,0.00028109955073267,0.54189280984066,0.0078429439242298,0.0078387224054042,0.0074837155159801,0.0074810324367485,1.1760487001726e-05,8.979306111507e-06,3.303e-08,0.01
83.5,-0.023484487922245,0.0002810995607273,0.54189292033544,0.0078448903350195,0.0078406621762888,0.0074813234309954,0.0074786468071876,1.1763400403402e-05,8.9764383829994e-06,3.303e-08,0.01
84.5,-0.023765587492959,0.00028109957071436,0.54189303085409,0.0078468367559056,0.0078426019457053,0.0074789313475057,0.0074762611746046,1.1766313805182e-05,8.9735706543427e-06,3.303e-08,0.01
85.5,-0.024046687073653,0.00028109958069386,0.54189314139757,0.0078487831878922,0.0078445417136006,0.0074765392655132,0.0074738755389953,1.1769227207065e-05,8.9707029255368e-06,3.303e-08,0.01
86.5,-0.024327786664319,0.00028109959066584,0.54189325196776,0.0078507296321046,0.0078464814799155,0.0074741471850204,0.0074714899003551,1.1772140609051e-05,8.9678351965816e-06,3.303e-08,0.01
87.5,-0.024608886264949,0.00028109960063028,0.54189336256638,0.0078526760898033,0.0078484212445834,0.0074717551060298,0.0074691042586792,1.1775054011141e-05,8.9649674674769e-06,3.303e-08,0.01
